,Model Index,Model Number,Keep,Used,Best Match Ratio,Duplicate[0],Keep[0],Used[0],Match Ratio[0],Partial Match Ratio[0],Index[0],Duplicate[1],Keep[1],Used[1],Match Ratio[1],Partial Match Ratio[1],Index[1],Duplicate[2],Keep[2],Used[2],Match Ratio[2],Partial Match Ratio[2],Index[2]
3750,3750,SPECIALTY ITEM 13,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,FALSE,97,100,3746,SPECIALTY ITEM 3,TRUE,FALSE,97,94,3759,SPECIALTY ITEM 3,TRUE,TRUE,97,94,4903
3749,3749,SPECIALTY ITEM 12,TRUE,TRUE,97,SPECIALTY ITEM 1,TRUE,TRUE,97,100,3746,SPECIALTY ITEM 2,TRUE,TRUE,97,94,3757,SPECIALTY ITEM 2,TRUE,TRUE,97,94,4902
3753,3753,SPECIALTY ITEM 16,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,FALSE,97,100,3746,SPECIALTY ITEM 6,TRUE,TRUE,97,94,3762,SPECIALTY ITEM,TRUE,TRUE,90,100,3744
3756,3756,SPECIALTY ITEM 19,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,FALSE,97,100,3746,SPECIALTY ITEM 9,TRUE,FALSE,97,94,3765,SPECIALTY ITEM,TRUE,FALSE,90,100,3744
3752,3752,SPECIALTY ITEM 15,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,FALSE,97,100,3746,SPECIALTY ITEM 5,TRUE,TRUE,97,94,3761,SPECIALTY ITEM,TRUE,TRUE,90,100,3744
3751,3751,SPECIALTY ITEM 14,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,TRUE,97,100,3746,SPECIALTY ITEM 4,TRUE,TRUE,97,94,3760,SPECIALTY ITEM 4,TRUE,TRUE,97,94,4904
3106,3106,DIRECTV HR24 - SATELLITE RECEIVER,TRUE,TRUE,97,DIRECTV HR24 - SATELLITE RECEIV,TRUE,TRUE,97,100,3105,DIRECTV H-25  - SATELLITE RECEI,TRUE,TRUE,88,90,3104,DIRECTV SATELLITE RECEIVER,TRUE,TRUE,88,77,3107
3758,3758,SPECIALTY ITEM 20,TRUE,FALSE,97,SPECIALTY ITEM 2,TRUE,TRUE,97,100,3757,SPECIALTY ITEM 2,TRUE,FALSE,97,100,4902,SPECIALTY ITEM,TRUE,TRUE,90,100,3744
3748,3748,SPECIALTY ITEM 11,TRUE,FALSE,97,SPECIALTY ITEM 1,TRUE,FALSE,97,100,3746,SPECIALTY ITEM,TRUE,TRUE,90,100,3744,SPECIALTY ITEM,TRUE,TRUE,90,100,4901
3755,3755,SPECIALTY ITEM 18,TRUE,TRUE,97,SPECIALTY ITEM 1,TRUE,TRUE,97,100,3746,SPECIALTY ITEM 8,TRUE,FALSE,97,94,3764,SPECIALTY ITEM,TRUE,FALSE,90,100,3744
