Manufacturer,Model,Category,Subcategory,URL,Part Number,System,Accounting Item Name,Short Description,Long Description,Discontinued,Tags,Phase,Labor Hours,MSRP,Unit Cost,Unit Price,Taxable,Use Tax,Preferred Vendor,Order UOM,Order UOM Units,Do Not Order,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Custom Field 1 (Income Account),Custom Field 2 (Expense Account),Custom Field 3 (Spec Sheet - Type),Custom Field 4 (Spec Sheet - Cut Out Dimensions),Custom Field 5 (Spec Sheet - Part ID),Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12 (Spec Sheet Options),Custom Field 13,Custom Field 14,Summarize,Show In Product Details Report,Approved
1-TEMPLATE,ROUGH-IN,Miscellaneous,,,,,,,,FALSE,,,0,0,,,TRUE,,,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Rough-in Phase Product Revenue,Product COGS:Rough-in Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
1-TEMPLATE,SECURITY-FINISH,Miscellaneous,,,,,ABB:AT42R3,,,FALSE,,,0,0,100,125,TRUE,,,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
1-TEMPLATE,SECURITY-ROUGH-IN,Miscellaneous,,,,,1-TEMPLATE:SECURITY-ROUGH-IN,,,FALSE,,,0,0,,,TRUE,,,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Rough-in Phase Product Revenue:Security Rough-in Product Rev,Product COGS:Rough-in Product COGS:Security Rough-in Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01273-001,Access Control,Intercom,https://www.2n.cz/en_GB/products/intercoms/2n-helios-ip-verso,01273-001,Access Control System,2N:01273-001,"IP Verso Main Unit with Camera, Nickel.","The 2N IP Verso security intercom is configurable to your needs thanks to its modularity. It provides reliable access control and allows you to easily interface with other systems, achieving even higher site security. Now also in black, with a fingerprint reader, Bluetooth module, or touch display.",FALSE,,Security Finish,1,1303.99,766.99,1303.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,10.1181,5.1181,0.1969,5,FALSE,0,0.27,48,12.95,44.22,,FALSE,,,PHOENIX-2;PHOENIX-2;;RJ45,CTRL;CTRL;;DATA,NC;NO;;LAN POE,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,INT,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01302-001,Access Control,Intercom,,01302-001,Access Control System,2N:01302-001,"IP Solo Main Unit with Camera, Surface Mount, Black","A compact IP intercom that would be a great addition to your smart home entrance. Despite that it has only one fitted button, it can astonish by a hidden HD camera, multiple functionalities including calls to your smart phone, and easy integration into an existing home automation system. Available also in black.",FALSE,,Security Finish,1,1229.99,737.99,1229.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,6.02,5.12,0.2,2.5,FALSE,0,0.27,48,12.95,44.22,,FALSE,,,PHOENIX-2;PHOENIX-2;;RJ45,CTRL;CTRL;;DATA,NC;NO;;LAN POE,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,DS,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01303-001,Access Control,Intercom,,01303-001,Access Control System,2N:01303-001,"IP Solo Main Unit with Camera, Flush Mount, Black","A compact IP intercom that would be a great addition to your smart home entrance. Despite that it has only one fitted button, it can astonish by a hidden HD camera, multiple functionalities including calls to your smart phone, and easy integration into an existing home automation system. Available also in black.",FALSE,,Security Finish,1,1254.99,752.99,1254.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,6.02,5.12,0.2,2.5,FALSE,0,0.27,48,12.95,44.22,,FALSE,,,PHOENIX-2;PHOENIX-2;;RJ45,CTRL;CTRL;;DATA,NC;NO;;LAN POE,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,DS,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01304-001,Access Control,Accessories,,01304-001,Access Control System,2N:01304-001,IP Solo Back Box for Flush Mount Installations,,FALSE,,Security Finish,0.25,31.99,18.99,31.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,5.35,4.25,1.77,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,2,4.25''W x 5.35''H x 1.77''D,DS-BB,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01305-001,Access Control,Accessories,,01305-001,Access Control System,2N:01305-001,IP Solo Back Plate for Surface Mount Installations,,FALSE,,Security Finish,0.25,63.99,37.99,63.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,2,10.2'' Hole,DS-BB,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01312-001,Access Control,Intercom,https://www.2n.cz/en_GB/products/intercoms/2n-helios-ip-vario,01312-001,Access Control System,2N:01312-001,"IP Vario 3X2 Button, Keyapd and Display.","The 2N IP Vario combines a sleek, stainless steel design with advanced technology. This variable intercom offers a range of functions for communication with visitors, Access Control and video surveillance. Its many add-ins, such as the display, card reader or keypad ensures a wide range of uses.",FALSE,,Security Finish,1,1499.99,897.99,1499.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,8.2677,3.937,1.1417,0,FALSE,0,0.27,48,12.95,44.22,,FALSE,,,RJ45,DATA,LAN POE,TERM-BLK;TERM-BLK;TERM-BLK,CTRL;CTRL;CTRL,NC;C;NO,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
2N,01365-001,Access Control,Reader,https://www.2n.cz/en_GB/products/access-control/2n-access-unit-rfid#tab-2,01365-001,Access Control System,2N:01365-001,Access Unit RFID.,"The 2N Access Unit RFID is an access control unit based purely on IP technology. It combines the functions of a traditional door controller and RFID reader, which significantly reduces installation, cabling, and maintenance costs. It supports cards or other media using 125 kHZ or 13.56 MHz frequencies.",FALSE,,Security Finish,1,525.99,308.99,525.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,6.0236,5.1181,0.1969,1,FALSE,0,0.29,48,14,47.5,,FALSE,,,RJ45,DATA,LAN POE,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
