,Manufacturer,Model,Project Count,Usage Count,Min Unit Cost,Max Unit Cost,Average Unit Cost,Min Unit Price,Max Unit Price,Average Unit Price,Min Unit Labor Hours,Max Unit Labor Hours,Average Unit Labor Hours
Equipment,1-TEMPLATE,ROUGH-IN,1,1,750,750,750,937.5,937.5,937.5,0,0,0
Equipment,1-TEMPLATE,SECURITY-FINISH,1,1,450,450,450,818.18,818.18,818.18,4,4,4
Equipment,1-TEMPLATE,SECURITY-ROUGH-IN,1,1,0,0,0,0,0,0,0,0,0
Equipment,2N,01273-001,2,2,766.99,766.99,766.99,1303.99,1303.99,1303.99,1,1,1
Equipment,2N,01303-001,1,1,752.99,752.99,752.99,1254.99,1254.99,1254.99,1,1,1
Equipment,2N,01304-001,1,1,18.99,18.99,18.99,31.99,31.99,31.99,0.25,0.25,0.25
Equipment,2N,01312-001,1,1,897.99,897.99,897.99,1499.99,1499.99,1499.99,1,1,1
Equipment,2N,01365-001,1,4,308.99,308.99,308.99,525.99,525.99,525.99,1,1,1
Equipment,ACCESS NETWORKS,A310,5,15,285,285,285,475,475,475,0,1,0.3
Equipment,ACCESS NETWORKS,A510,21,82,480,480,480,800,800,800,0.5,1,0.65
Equipment,ACCESS NETWORKS,A610,109,407,0,630,623.91,0,1050,993.61,0,1,0.51
Equipment,ACCESS NETWORKS,B300,4,4,900,900,900,900,1500,1313.35,0.5,1,0.88
Equipment,ACCESS NETWORKS,C120,125,126,0,995,984.4,0,1990,1865.6,0,2,1.5
Equipment,ACCESS NETWORKS,C120 (DO NOT ORDER),1,1,0,0,0,0,0,0,0.5,0.5,0.5
Equipment,ACCESS NETWORKS,C120 SINGLE AP LICENSE UPGRADE,19,22,126,126,126,180,189.47,180.43,0,0,0
Equipment,ACCESS NETWORKS,CORE2 SYSTEM QUOTE,1,1,12020,12020,12020,12020,12020,12020,0,0,0
Equipment,ADEMCO,1332,137,195,13.13,13.79,13.13,13.13,21.01,20.67,0,0.5,0.08
Equipment,ADEMCO,4100SM,1,3,76.49,76.49,76.49,219,219,219,0.13,0.13,0.13
Equipment,ADEMCO,4193SNP,137,1734,10.99,12.99,11.33,12.99,24.98,18.89,0,0.5,0.26
Equipment,ADEMCO,4204,149,289,43,63.23,43.58,43,105.27,98.88,0,1,0.49
Equipment,ADEMCO,4208SN,6,14,73.79,73.79,73.79,125,125,125,0.5,0.5,0.5
Equipment,ADEMCO,4208U,47,141,46,75.18,66.64,54.49,120.29,105.26,0,0.5,0.49
Equipment,ADEMCO,4219,2,6,70.37,70.37,70.37,112.59,112.59,112.59,0.5,0.5,0.5
Equipment,ADEMCO,4232CBM,2,3,49.99,49.99,49.99,93.99,93.99,93.99,0.5,0.5,0.5
Equipment,ADEMCO,470PB,87,673,11.5,14.99,11.85,11.5,23.98,18.68,0,1,0.49
Equipment,ADEMCO,5800CO,12,41,77.99,81.99,79.75,97.49,149.98,128.72,0,1,0.56
Equipment,ADEMCO,5800COMBO,48,347,115,117.99,115.56,195.5,200.6,196.45,0,0.5,0.46
Equipment,ADEMCO,5800FLOOD,9,69,25.99,25.99,25.99,43.99,43.99,43.99,0.25,0.25,0.25
Equipment,ADEMCO,5800MICRA,19,92,32.75,35.51,32.81,35.51,70.93,65.15,0,0.5,0.49
Equipment,ADEMCO,5800MINI,2,31,28.99,28.99,28.99,4.88,41.99,27.62,0.25,0.25,0.25
Equipment,ADEMCO,5800PIR,39,110,74.85,78.99,75.6,78.79,143.94,124.47,0,1,0.9
Equipment,ADEMCO,5800RP,53,118,79.99,82.99,80.85,82.99,132.78,128.7,0,0.2,0.17
Equipment,ADEMCO,5800SS1,2,2,39.87,39.87,39.87,63.79,63.79,63.79,0.5,0.5,0.5
Equipment,ADEMCO,5802WXT,4,7,29.99,29.99,29.99,47.98,47.98,47.98,0,1,0.51
Equipment,ADEMCO,5806W3,11,70,61.16,64.99,61.65,73.4,103.98,95.76,0,0.5,0.41
Equipment,ADEMCO,5808W3,3,11,59.99,59.99,59.99,95.98,95.98,95.98,0.5,0.5,0.5
Equipment,ADEMCO,5809SS,28,75,53.99,61.16,54.28,67.49,103.83,90.13,0.25,0.5,0.49
Equipment,ADEMCO,5811,1,6,26.5,26.5,26.5,42.4,42.4,42.4,0.25,0.25,0.25
Equipment,ADEMCO,5816OD,3,4,55.49,55.49,55.49,88.78,88.78,88.78,0.5,0.5,0.5
Equipment,ADEMCO,5816WMBR,3,4,24.99,25.99,25.49,39.98,41.58,40.78,0.5,0.5,0.5
Equipment,ADEMCO,5816WMWH,14,38,24.99,25.99,25.38,39.98,41.58,40.61,0,1,0.7
Equipment,ADEMCO,5817CB,11,14,61.94,67.99,63.24,99.1,108.78,101.18,0.25,0.5,0.46
Equipment,ADEMCO,5818MNL,79,669,28.5,30.99,28.9,28.5,54.81,45.8,0,1,0.25
Equipment,ADEMCO,5820L,22,100,28.5,30.5,28.62,30.5,48.8,45.61,0,0.5,0.45
Equipment,ADEMCO,5821,120,986,40.99,45.99,41.81,0,78.83,64.89,0,0.6,0.47
Equipment,ADEMCO,5822T,7,14,33,33,33,52.8,52.8,52.8,0.5,0.5,0.5
Equipment,ADEMCO,5853,11,46,59.99,63.99,60.16,63.99,110.07,96.04,0,0.5,0.49
Equipment,ADEMCO,5869,3,7,76.99,76.99,76.99,102.65,153.99,139.32,0,0.5,0.29
Equipment,ADEMCO,5870API-WH,2,2,72.99,72.99,72.99,116.78,116.78,116.78,0.5,0.5,0.5
Equipment,ADEMCO,5881ENH,111,157,90,92.72,90.38,90,163.15,156.42,0,0.5,0.19
Equipment,ADEMCO,5881ENL,9,9,44.99,46.5,45.16,71.98,74.4,72.25,0.5,0.5,0.5
Equipment,ADEMCO,5881ENM,2,2,59.99,59.99,59.99,95.98,95.98,95.98,0.25,0.5,0.38
Equipment,ADEMCO,5898,1,2,102.85,102.85,102.85,164.56,164.56,164.56,0.5,0.5,0.5
Equipment,ADEMCO,6160CR-2,1,1,153.99,153.99,153.99,246.38,246.38,246.38,1,1,1
Equipment,ADEMCO,6160RF,6,7,193.99,199.99,195.7,232.79,319.98,302.04,0,0.5,0.43
Equipment,ADEMCO,6165EX,3,4,122.99,122.99,122.99,179.99,179.99,179.99,0.5,0.5,0.5
Equipment,ADEMCO,6280W,4,4,243.99,243.99,243.99,390.38,390.38,390.38,1,1,1
Equipment,ADEMCO,6460S,10,23,104,139.99,109.82,104,290.74,217.61,0,1,0.63
Equipment,ADEMCO,6460W,41,62,104,134.99,104.8,107.14,222.51,210.45,0,1,0.83
Equipment,ADEMCO,7847I,1,1,74.4,74.4,74.4,185,185,185,1,1,1
Equipment,ADEMCO,944TSP-BR,1,20,2.51,2.51,2.51,4.26,4.27,4.27,0,0,0
Equipment,ADEMCO,958,88,226,12.35,15.99,12.98,15.99,25.58,20.7,0,0.25,0.23
Equipment,ADEMCO,CDMA-X,3,3,69.99,99.99,89.99,118.99,169.99,152.99,0,1,0.67
Equipment,ADEMCO,CELL-ANTHB,30,36,15.5,17.99,17.22,17.5,30.99,29.19,0,0.5,0.46
Equipment,ADEMCO,CELL-EXTRA,9,10,15,16.99,15.2,21.99,24.91,22.28,0,0.25,0.18
Equipment,ADEMCO,DT8035,5,22,33.99,34.99,34.9,67.98,69.98,69.8,0,0.25,0.06
Equipment,ADEMCO,HP300ULX,123,135,121.99,139.99,124.92,121.99,229.53,200.4,0,1,0.94
Equipment,ADEMCO,IGSMV4G,40,42,184,184,184,184,294.4,286.51,0,1,0.94
Equipment,ADEMCO,TS300,1,2,54.99,54.99,54.99,87.98,87.98,87.98,1,1,1
Equipment,ADEMCO,TUXWIFIS,25,29,393.99,393.99,393.99,630.38,630.38,630.38,1,1,1
Equipment,ADEMCO,TUXWIFIW,88,122,393.99,393.99,393.99,393.99,630.38,611.11,0,1,0.79
Equipment,ADEMCO,V128BPT-KT94,147,165,427,435.54,428.35,427,899,833.55,0,10,5.68
Equipment,ADEMCO,VISTA-128BPT,3,3,294,294,294,475,475,475,0,4,2.67
Equipment,ADEMCO,VISTA128FBPTCFKF,4,4,783.99,783.99,783.99,1254.99,1254.99,1254.99,4,4,4
Equipment,ADEMCO,VISTA-21IP,13,13,163.99,163.99,163.99,262.38,262.38,262.38,0,4,3.46
Equipment,ADEMCO,VISTA-250BPT,2,2,448.99,448.99,448.99,763.99,763.99,763.99,4,4,4
Equipment,ADEMCO,VISTA-GSM4G,5,5,129,129,129,259.2,259.2,259.2,0.09,0.09,0.09
Equipment,ADI LOCK EXPRESS,M56AF,1,1,501.99,501.99,501.99,853.38,853.38,853.38,0,0,0
Equipment,AIPHONE,IX-DA,4,7,542.99,655.99,591.42,734.99,928.24,817.81,0.5,1,0.79
Equipment,AIPHONE,IX-MV,3,10,808.99,975.99,925.89,1011.24,1442.92,1313.41,0.5,1,0.9
Equipment,ALLEN & HEATH,AH-M-SQ-SDANTE-A,1,1,562.16,562.16,562.16,702.7,702.7,702.7,0.5,0.5,0.5
Equipment,ALLEN & HEATH,GX4816,1,1,2708.53,2708.53,2708.53,3385.66,3385.66,3385.66,2,2,2
Equipment,ALLEN & HEATH,SQ-7,1,1,3762.13,3762.13,3762.13,4702.66,4702.66,4702.66,3,3,3
Equipment,ALLIED MOULDED,"4"" Smoke Box w/ Spanner",119,1523,3.64,3.64,3.64,3.64,7.28,7.12,0,0.5,0.45
Equipment,ALTRONIX,ACM4,1,23,37.99,37.99,37.99,57.13,57.13,57.13,0.25,0.25,0.25
Equipment,ALTRONIX,ACM4CB,4,21,36.99,123,41.09,49.32,56.99,52.94,0,0.25,0.17
Equipment,ALTRONIX,AL300ULX,6,61,149.99,149.99,149.99,149.99,300,251.43,0,0.5,0.49
Equipment,ALTRONIX,BT1212,2,18,60.99,60.99,60.99,81.32,93.83,86.19,0,0.25,0.15
Equipment,ALTRONIX,EFLOW4NB,1,8,155.99,155.99,155.99,239.98,239.98,239.98,0,0,0
Equipment,ALTRONIX,PD8ULCB,1,2,27.99,27.99,27.99,43,43,43,0.25,0.25,0.25
Equipment,ALTRONIX,TROVE1M1,1,7,169.99,169.99,169.99,261.52,261.52,261.52,0,0,0
Equipment,ALTRONIX,TROVE1M1R,1,1,557.99,557.99,557.99,858.45,858.45,858.45,0,0,0
Equipment,ALTRONIX,VR6,1,7,44.99,44.99,44.99,69.22,69.22,69.22,0,0,0
Equipment,ANTAIRA,IMP-C1000-SFP,1,2,300,300,300,600,600,600,0.5,0.5,0.5
Equipment,ANTAIRA,LNP-0500-T,1,1,206,206,206,412,412,412,0.5,0.5,0.5
Equipment,ANTAIRA,SFP-M,1,4,24,24,24,96,96,96,0.25,0.25,0.25
Equipment,APPLE,APPLE TV 4K 32GB,205,676,0,179,175.29,0,265.6,179.74,0,2,0.99
Equipment,APPLE,APPLE TV 4K 64GB,1,2,199,199,199,199,199,199,1,1,1
Equipment,APPLE,APPLE TV WM,91,256,9.99,17.99,10.08,11.1,20,19.15,0.13,0.25,0.25
Equipment,APPLE,IPAD 9.7 32GB (SPACE GRAY),5,15,329,329,329,329,350,330.4,0.5,0.5,0.5
Equipment,APPLE,IPAD MINI 5 64GB (SILVER),5,8,399.99,399.99,399.99,399.99,399.99,399.99,0.5,0.5,0.5
Equipment,APPLE,IPAD MINI 5 64GB (SPACE GRAY),22,56,399.99,399.99,399.99,399.99,655.72,441.09,0.5,0.5,0.5
Equipment,APPLE,IPAD PRO 11 256GB (SPACE GRAY),2,6,799,799,799,799,799,799,0.5,0.5,0.5
Equipment,APPLE,IPAD PRO 12.9 64GB (SPACE GRAY),1,1,999,999,999,999,999,999,0.5,0.5,0.5
Equipment,APPLE,LIGHTNING DIGITAL AV ADAPTER,3,3,49,49,49,49,49,49,0.17,0.17,0.17
Equipment,APRILAIRE,6403,1,1,0,0,0,0,0,0,0.25,0.25,0.25
Equipment,APRILAIRE,8029,1,1,15.9,15.9,15.9,31.8,31.8,31.8,0.08,0.08,0.08
Equipment,APRILAIRE,8051,1,8,15.63,15.63,15.63,31.25,31.25,31.25,0.25,0.25,0.25
Equipment,APRILAIRE,8052,1,1,5.18,5.18,5.18,10.35,10.35,10.35,0.25,0.25,0.25
Equipment,APRILAIRE,8081,1,3,74.03,74.03,74.03,148.05,148.05,148.05,0.25,0.25,0.25
Equipment,APRILAIRE,8083,4,83,100,100,100,200,200,200,0.25,0.25,0.25
Equipment,APRILAIRE,8811,1,1,103.6,103.6,103.6,207.2,207.2,207.2,0.25,0.25,0.25
Equipment,APRILAIRE,8819,1,1,109,109,109,218,218,218,0.5,0.5,0.5
Equipment,APRILAIRE,8820,5,90,191.25,198.9,191.85,382.5,397.8,383.69,0.5,1,0.68
Equipment,ARAKNIS,AN-110-RT-2L1W,2,5,119.95,119.95,119.95,239.95,239.95,239.95,1,1,1
Equipment,ARAKNIS,AN-110-SW-C-16P,3,3,169.95,173.95,171.28,339.95,339.95,339.95,0.5,0.5,0.5
Equipment,ARAKNIS,AN-110-SW-C-5,32,63,39.95,40.95,40.25,40.95,79.95,76.87,0.5,0.5,0.5
Equipment,ARAKNIS,AN-110-SW-C-5P,3,8,69.95,69.95,69.95,139.95,139.95,139.95,0.25,0.25,0.25
Equipment,ARAKNIS,AN-110-SW-F-16,3,3,129.95,129.95,129.95,259.95,259.95,259.95,1,1,1
Equipment,ARAKNIS,AN-110-SW-F-8,6,6,59.95,60.95,60.28,92.35,119.95,115.35,0,1,0.67
Equipment,ARAKNIS,AN-110-SW-R-16,28,37,129.95,132.95,130.6,259.95,259.95,259.95,0,1,0.86
Equipment,ARAKNIS,AN-110-SW-R-24,18,21,169.95,183.95,171.28,339.95,359.95,341.85,0.5,1.5,1.36
Equipment,ARAKNIS,AN-110-SW-R-8,26,42,59.95,60.95,59.97,89.63,119.95,119.23,0.5,1,0.99
Equipment,ARAKNIS,AN-210-SW-F-24-POE,1,1,649.95,649.95,649.95,1199.95,1199.95,1199.95,1,1,1
Equipment,ARAKNIS,AN-210-SW-F-48-POE,3,3,649.95,665.95,660.62,1001.43,1199.95,1133.78,1,1,1
Equipment,ARAKNIS,AN-210-SW-R-16-POE,6,7,299.95,299.95,299.95,599.95,599.95,599.95,1,1,1
Equipment,ARAKNIS,AN-210-SW-R-24-POE,12,16,399.95,409.95,400.58,799.95,799.95,799.95,1,1.5,1.47
Equipment,ARAKNIS,AN-210-SW-R-8-POE,12,13,179.95,183.95,181.18,359.95,359.95,359.95,1,1,1
Equipment,ARAKNIS,AN-300-AP-I-N,12,35,149.95,153.95,152.58,279.91,299.95,298.23,0.5,1,0.81
Equipment,ARAKNIS,AN-310-RT-4L2W,18,18,199.95,199.95,199.95,199.95,399.95,378.48,1,1,1
Equipment,ARAKNIS,AN-310-SW-F-16,2,2,189.95,194.95,192.45,379.95,379.95,379.95,1,1,1
Equipment,ARAKNIS,AN-310-SW-F-16-POE,2,2,499.95,499.95,499.95,999.95,999.95,999.95,1,1,1
Equipment,ARAKNIS,AN-310-SW-F-24,1,2,401.04,401.04,401.04,699.95,699.95,699.95,1,1,1
Equipment,ARAKNIS,AN-310-SW-F-24-POE,7,7,699.95,716.95,704.81,1399.95,1399.95,1399.95,1,1.5,1.36
Equipment,ARAKNIS,AN-310-SW-F-48,2,3,399.95,399.95,399.95,699.95,699.95,699.95,1,2,1.33
Equipment,ARAKNIS,AN-310-SW-R-16,11,11,224.95,239.95,235.86,299.94,479.95,452.68,1,1,1
Equipment,ARAKNIS,AN-310-SW-R-16-POE,21,21,189.95,542.95,472.05,379.95,1059.95,830.01,0,1,0.95
Equipment,ARAKNIS,AN-310-SW-R-24,99,117,0,265.95,245.23,0,531.9,459.21,0,2,1.57
Equipment,ARAKNIS,AN-310-SW-R-24-POE,70,76,699.95,716.95,705.54,716.95,1433.9,1337.17,0,1.5,1.06
Equipment,ARAKNIS,AN-310-SW-R-8,3,5,139.95,153.95,142.75,279.95,299.95,283.95,1,1,1
Equipment,ARAKNIS,AN-310-SW-R-8-POE,46,46,0,265.95,249.04,0,519.95,487.89,0,1,0.92
Equipment,ARAKNIS,AN-500-AP-I-AC,7,27,204.95,204.95,204.95,204.95,399.95,355.18,0.5,1,0.93
Equipment,ARAKNIS,AN-700-AP-I-AC,2,6,255.95,306.95,281.45,332.4,599.95,467.63,1,1,1
Wire,ARAKNIS,AN-ACC-PS-12V2A,3,12,9.95,9.95,9.95,14.95,14.95,14.95,0.25,0.25,0.25
Wire,ARAKNIS,AN-ACC-PS-48V1A,1,1,19.95,19.95,19.95,29.95,29.95,29.95,0.25,0.25,0.25
Equipment,ARAKNIS,AN-ACC-SFP-MMF-350,14,45,39.95,46.95,43.37,39.95,91.95,73.94,0.08,0.25,0.17
